Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
AW06M77647,W207,PK02,BK10,2.0,25.5706882,33.5765266,24.8999996,7.01348305,628.0,42.5,68.0577164,23.1614799,68.6348953,23.3852158,1,1,0
VNJ6L62786,BLR,MK01,BK16,45.0,25.3793793,33.8002625,24.7999992,7.105618,628.0,42.5,68.1841812,23.129055,68.6673203,23.3852158,1,1,0
VBK6L00954,BLR,MK01,BK16,10.0,26.5012989,32.7431908,24.8999996,6.51011229,628.0,42.5,68.1225739,23.0966301,67.6394348,23.6413765,1,0,0
ARK6L50694,LTV,MK01,BK16,9.0,26.2451363,33.3819733,24.8999996,7.211236,628.0,42.5,68.0252914,23.0350227,68.1841812,23.4500656,1,0,1
AWH6L10682,W207,MK09,BK11,53.0,25.4442291,33.5765266,24.8999996,7.05618,628.0,42.5,67.9604416,23.002594,68.281456,23.3236084,2,1,0
AW06M77662,W207,MK08,BK14,53.0,24.9643326,33.3203659,24.8999996,6.56179762,628.0,42.5,67.8339844,23.2263298,67.9280167,23.2587547,1,1,0
VBK6L00956,BLR,MK01,BK16,8.0,25.7652416,32.4546051,24.8999996,7.06516838,628.0,42.5,67.8339844,23.2263298,67.8664093,23.1614799,1,0,1
VNK6L64986,BLR,MK01,BK16,7.0,25.5382633,32.2600555,25.0,7.09887648,628.0,42.5,67.8339844,23.2263298,68.1841812,23.0642052,1,0,1
VBK6L00962,BLR,MK01,BK16,7.0,25.0907917,32.1335945,25.0,6.76404524,628.0,42.5,67.9604416,23.0350227,67.9604416,23.0350227,1,0,0
VBK6L00959,BLR,MK01,BK16,2.0,26.7898846,31.653698,25.0,7.15056181,628.0,42.5,67.0330734,22.9377441,67.9604416,23.0350227,1,0,0
AWK6L12521,W207,MK09,BK11,23.0,25.8917007,31.780159,25.0,6.57528114,628.0,42.5,66.488327,23.0350227,67.9280167,23.0642052,1,1,0
AWK6L12520,W207,MK09,BK11,2.0,25.3793793,31.9714661,25.0,6.61797762,628.0,42.5,66.520752,23.1939049,67.2243881,23.129055,1,1,0
VPK6L18500,BLRPICKUP,PK02,BK08,69.0,26.2451363,32.1011696,25.0,6.75280905,628.0,42.5,66.0084305,23.129055,66.1673203,23.3852158,1,1,0
ARK6L50726,LTV,MK01,BK16,7.0,25.4118042,32.2308693,25.0,6.26966286,628.0,42.5,65.9435806,23.2911835,65.3015594,23.6738014,1,0,0
ARK6L50727,LTV,MK01,BK16,2.0,25.3145275,32.3897552,25.0,7.18426991,628.0,42.5,66.1024704,23.3527908,65.3339844,23.7710762,1,0,0
VBK6L00940,BLR,MK01,BK16,2.0,25.5706882,32.3249054,25.0,7.12359571,628.0,42.5,66.0700378,23.3527908,65.2042847,23.7062263,1,0,0
AWK6L12544,W207,MK09,BK11,10.0,26.309988,31.5564232,25.0,7.04269648,628.0,42.5,66.0376129,23.0966301,65.3015594,23.5149155,1,1,0
AW06M77654,W207,MK09,BK11,2.0,26.9811935,31.5239983,25.0,6.48089886,628.0,42.5,65.9760056,23.0642052,65.7490311,23.3527908,1,1,0
AW06M77653,W207,PK02,BK08,12.0,25.6031132,32.3573303,25.0,6.37977552,628.0,42.5,66.0700378,23.2587547,66.5531769,23.2911835,1,1,0
VPK6L18491,BLRPICKUP,PK02,BK08,1.0,25.1232166,32.7756195,25.0,6.37977552,628.0,42.5,66.0700378,23.2587547,66.7120667,23.2587547,1,1,0
AWK6L12518,W207,MK09,BK11,1036.0,75.1070099,20.502594,23.5,6.96629238,635.0,42.4,67.6102524,23.3852158,71.1024704,23.3236084,1,1,1
VPK6L18494,BLRPICKUP,PK02,BK08,1035.0,74.9448776,20.5674477,23.5,6.61348343,635.0,42.4,67.6718597,23.4500656,69.6271133,23.6089516,1,1,0
VBK6L00972,BLR,MK01,BK16,1044.0,75.522049,20.6322975,23.5,7.21573019,635.0,42.4,67.8015594,23.4824905,68.1841812,23.8035049,1,0,1
VBK6L00950,BLR,MK01,BK16,2.0,74.9156952,20.7263298,23.5,6.43820238,635.0,42.4,67.8015594,23.6089516,67.4481201,23.8035049,1,0,1
VBK6L00958,BLR,MK01,BK16,3.0,73.6965027,20.8884583,23.5,6.48089886,635.0,42.4,67.8015594,23.6738014,67.5453949,23.6738014,1,0,0
ARK6L50757,LTV,MK01,BK16,2.0,72.9604416,20.9824905,23.5,7.2382021,635.0,42.4,67.8339844,23.6738014,68.0577164,23.6089516,1,0,1
VBK6L00969,BLR,MK01,BK16,2.0,72.9604416,21.0149155,23.5,6.52809,635.0,42.4,67.8339844,23.7062263,68.3138809,23.5797691,1,0,0
ARK6L50758,LTV,MK01,BK16,2.0,72.6070099,21.0797691,23.5,6.77528095,635.0,42.4,67.8988342,23.7062263,68.5700378,23.7062263,1,0,0
ARK6L50586,LTV,MK01,BK16,2.0,72.6718597,21.144619,23.5,7.04269648,635.0,42.4,67.8339844,23.7710762,68.2490311,23.8359299,1,0,0
